motif_id,num_instances,avg_density_change,avg_ore_density_corr,avg_watermill_density_corr,avg_ore_lag_min,avg_watermill_lag_min
1,3,-0.8698773027997504,0.052280577584046806,-0.03135563725851139,9.0,0.0
2,9,8.849492332659135,0.6583919617839098,0.681777240873826,0.0,0.0
3,4,-4.229868762706587,0.25323965727764275,-0.23676473933786285,-0.5,0.5
4,4,-8.171556050223217,0.4579727557268103,0.1719836508039865,-0.5,-10.5
5,20,-0.9286236281960101,0.12540465404823842,0.050695034718453734,-5.5,-2.0
6,2,-15.264678398764659,0.8198902191161316,-0.5665433461919221,3.0,8.5
7,2,-14.518311662593192,0.5032374456659563,-0.8992495507200057,-9.0,0.0
8,2,2.623937476974561,-0.006793370503717977,0.05733385515683548,0.0,-0.5
9,10,-1.1560977535151777,0.044813587661762744,-0.04363095189106768,5.5,0.0
10,13,3.655545677519425,0.21984887175843548,0.31552066019381175,-8.0,0.0
11,20,1.2993206317466046,0.16166006488900397,-0.027862479100649075,0.0,0.0
